model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,MSR global,rew2.2,2,129.9043467849131,322.32855245162165,309.1092388249808,326.3771368406915,292.6127296885877,334.37079134171705,322.42845919779325,247.58482812130245,574.5721219258629
confidnet,do0,MSR global,rew2.2,4,136.3017703658487,330.7300097834648,320.5812769400385,311.3396051261267,287.0987884465534,335.82545223538915,320.826354616127,241.7701200123216,597.7955063186728
confidnet,do0,MSR global,rew2.2,5,136.56538218228766,331.8023262593218,322.6676647306088,314.3867085173026,290.44056866303293,337.69403262478016,318.08763392730106,244.8709386894028,577.498591562826
confidnet,do0,MSR global,rew2.2,1,130.5195540528382,326.21174850050363,310.69830422350003,314.4856792995021,286.67458807804286,335.71714763203016,317.57976488379154,244.20747173610292,594.2770977580939
confidnet,do0,MSR global,rew2.2,3,134.46706953587835,327.12665419555543,321.3640246078069,326.2279117053986,294.78560504840755,337.226728712057,319.27384271333904,244.5693243103653,557.9630596495193
confidnet,do0,MSR,rew2.2,2,129.88159068601414,322.33748269579473,309.1064026578092,326.35413345906386,292.60166856230813,334.38172972991447,322.4170413788128,247.4938513955658,574.5308672869687
confidnet,do0,MSR,rew2.2,4,136.50173136397885,330.656986997442,320.53797176882017,311.23928572130137,286.9762429998142,335.62003058461585,320.6881702308984,241.88727390908372,597.432760475634
confidnet,do0,MSR,rew2.2,5,136.5628535353268,331.79133723254495,322.65335761541434,314.34987396149364,290.4105214377044,337.688867031926,318.091923284084,244.8191542595496,577.4709788773681
confidnet,do0,MSR,rew2.2,1,130.51705247008553,326.2075196973795,310.69906620277465,314.4817964396097,286.6575036273159,335.7216668868703,317.5585495266937,244.13542685401728,594.3423223995624
confidnet,do0,MSR,rew2.2,3,134.63465321994022,327.101612530651,321.36076583711895,326.230117647737,294.75098413274634,337.04043858585203,319.13460421035035,244.34288421633127,557.6846350345425
confidnet,do0,MSR class,rew2.2,2,129.88095801804832,322.32838295818027,309.2928208617003,326.2999433902012,292.5219611626852,334.33800141628603,322.012839428704,247.88101737012116,574.029122886842
confidnet,do0,MSR class,rew2.2,4,136.5790463148927,330.7494721428062,320.70306232665104,311.2261692969615,286.9991374192882,335.6330677296705,319.9909460537159,242.2544918941203,597.8243367002798
confidnet,do0,MSR class,rew2.2,5,136.59742231310034,331.8148790525466,322.70126182898343,314.34216002287104,290.3904935899595,337.7389014293324,317.68826497979506,244.93427907642453,577.1741248324677
confidnet,do0,MSR class,rew2.2,1,130.53241119013788,326.1859214847097,310.65865198205483,314.6207249991842,286.6033763770632,335.6916096145426,317.0750990828656,244.3376064053125,593.1085794707102
confidnet,do0,MSR class,rew2.2,3,134.682199430846,327.05435962060903,321.69188433214464,326.4889697478071,294.9235915128521,337.06290813243595,318.57293117597453,244.5963165202451,557.497878781531
confidnet,do0,GEN global,rew2.2,2,130.1419078502804,320.96030865346705,307.38556770423395,324.57145627956174,290.77203392572744,333.3271494028162,320.3075871838004,247.165913897628,573.7131440631247
confidnet,do0,GEN global,rew2.2,4,136.38174914488465,327.9629208663987,317.6511647234125,308.01230844038395,283.5638026603576,335.1397099031769,314.2856379308288,241.5780696063128,596.4915854849487
confidnet,do0,GEN global,rew2.2,5,136.8599964200726,326.9408585227036,317.5538588479534,309.87745998449145,285.4755800219503,338.534307778632,309.00138134167577,243.89934746667703,574.0349768514704
confidnet,do0,GEN global,rew2.2,1,130.4403668018834,323.82612167484774,307.8961871484047,311.4262463110286,284.01334580450083,335.20625771425426,311.8126344141383,243.43795037786467,592.0263892607487
confidnet,do0,GEN global,rew2.2,3,134.66439366598044,324.71925354243115,318.8729091940884,323.38111694878893,292.0893919087463,336.51131261252425,313.3171452568831,243.96202013015977,554.5378201153827
confidnet,do0,GEN,rew2.2,2,129.9603902804924,320.4032913018058,306.8112084362444,324.05699556011865,290.353897112449,333.2805608659528,318.4660371968507,246.8882086632324,573.0595021675731
confidnet,do0,GEN,rew2.2,4,136.67768193783962,328.7890799025496,318.52312894694376,308.5079650650769,284.22537458592103,334.56366959883513,316.65589355790854,241.5994955518975,596.7773215318122
