model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-NNGuide class pred,rew2.2,1,0.056,0.5405405405405406,0.5405405405405406,0.5406282099799968,0.512165729369907,0.5408036342004219,0.5404528995298059,0.3989248832932522,0.7539388322520852
confidnet,do1,MCD-NNGuide class pred,rew2.2,3,0.0552222222222221,0.5405113237122318,0.5403944879762226,0.5403652869339673,0.5117252451120922,0.5404528995298059,0.5403944879762226,0.3987838506681751,0.7538733312096377
confidnet,do1,MCD-NNGuide class pred,rew2.2,5,0.053,0.5401026194977046,0.5401609679684546,0.5399568034557236,0.5114027045610818,0.5402485143165856,0.5398402072986397,0.3982488349103233,0.7535241844443801
confidnet,do1,MCD-NNGuide class pred,rew2.2,4,0.0536666666666666,0.54019014693172,0.54019014693172,0.5402193290475934,0.5116959064327485,0.5400734499891986,0.54019014693172,0.3983613504732307,0.7537641880935835
confidnet,do1,MCD-NNGuide class pred,rew2.2,2,0.0546666666666666,0.5403360890473875,0.5402777027392079,0.5400734499891986,0.5114906298355206,0.5399568034557236,0.5402193290475934,0.3983332156225722,0.7536114408128999
confidnet,do1,MCD-NNGuide global,rew2.2,1,0.056,0.5405405405405406,0.5405405405405406,0.5406282099799968,0.512165729369907,0.5408036342004219,0.5404528995298059,0.3989248832932522,0.7539388322520852
confidnet,do1,MCD-NNGuide global,rew2.2,3,0.0552222222222221,0.5405113237122318,0.5403944879762226,0.5403652869339673,0.5117252451120922,0.5404528995298059,0.5403944879762226,0.3987838506681751,0.7538733312096377
confidnet,do1,MCD-NNGuide global,rew2.2,5,0.053,0.5401026194977046,0.5401609679684546,0.5399568034557236,0.5114027045610818,0.5402485143165856,0.5398402072986397,0.3982488349103233,0.7535241844443801
confidnet,do1,MCD-NNGuide global,rew2.2,4,0.0536666666666666,0.54019014693172,0.54019014693172,0.5402193290475934,0.5116959064327485,0.5400734499891986,0.54019014693172,0.3983613504732307,0.7537641880935835
confidnet,do1,MCD-NNGuide global,rew2.2,2,0.0546666666666666,0.5403360890473875,0.5402777027392079,0.5400734499891986,0.5114906298355206,0.5399568034557236,0.5402193290475934,0.3983332156225722,0.7536114408128999
confidnet,do1,MCD-NNGuide,rew2.2,1,0.056,0.5405405405405406,0.5405405405405406,0.5406282099799968,0.512165729369907,0.5408036342004219,0.5404528995298059,0.3989248832932522,0.7539388322520852
confidnet,do1,MCD-NNGuide,rew2.2,3,0.0552222222222221,0.5405113237122318,0.5403944879762226,0.5403652869339673,0.5117252451120922,0.5404528995298059,0.5403944879762226,0.3987838506681751,0.7538733312096377
confidnet,do1,MCD-NNGuide,rew2.2,5,0.053,0.5401026194977046,0.5401609679684546,0.5399568034557236,0.5114027045610818,0.5402485143165856,0.5398402072986397,0.3982488349103233,0.7535241844443801
confidnet,do1,MCD-NNGuide,rew2.2,4,0.0536666666666666,0.54019014693172,0.54019014693172,0.5402193290475934,0.5116959064327485,0.5400734499891986,0.54019014693172,0.3983613504732307,0.7537641880935835
confidnet,do1,MCD-NNGuide,rew2.2,2,0.0546666666666666,0.5403360890473875,0.5402777027392079,0.5400734499891986,0.5114906298355206,0.5399568034557236,0.5402193290475934,0.3983332156225722,0.7536114408128999
confidnet,do1,MCD-NNGuide class avg,rew2.2,1,0.056,0.5405405405405406,0.5405405405405406,0.5406282099799968,0.512165729369907,0.5408036342004219,0.5404528995298059,0.3989248832932522,0.7539388322520852
confidnet,do1,MCD-NNGuide class avg,rew2.2,3,0.0552222222222221,0.5405113237122318,0.5403944879762226,0.5403652869339673,0.5117252451120922,0.5404528995298059,0.5403944879762226,0.3987838506681751,0.7538733312096377
confidnet,do1,MCD-NNGuide class avg,rew2.2,5,0.053,0.5401026194977046,0.5401609679684546,0.5399568034557236,0.5114027045610818,0.5402485143165856,0.5398402072986397,0.3982488349103233,0.7535241844443801
