model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,fDBD global,rew2.2,98.86588767993688,221.2939501681527,217.1182429198369,215.50238090269445,199.2670550399459,226.32387887506238,211.3266797071713,154.82064787468053,348.16385329309077
confidnet,do0,fDBD class avg,rew2.2,98.88049013747303,221.30003982389456,217.25959256012175,217.28584953315504,201.28511611018638,228.2229247044363,210.82933609467167,159.72529467906904,346.84785678714576
confidnet,do0,CTM class pred,rew2.2,99.05808149858429,220.76154181697743,215.68841817287085,213.42376612004418,197.5919070866643,225.39872987445887,209.92061689055043,158.54809225585657,347.02811942236895
confidnet,do0,CTM class,rew2.2,99.06893457281662,220.74553951823526,215.66925865528037,213.39454734247465,197.56650530935545,225.38159729210392,209.88163524351071,158.57437134837687,347.0524697150114
confidnet,do0,fDBD,rew2.2,99.09085803825,221.8246454077409,217.46710071433503,215.48642997696888,199.31726358849673,226.30804605808697,211.6839167540188,155.33175114048225,348.65585280726316
confidnet,do0,CTM global,rew2.2,99.15199384068757,219.98436682703542,214.71557361899823,212.20063999981926,196.3122301993135,224.3663680174531,209.6523488866892,155.87395646976648,346.5215932462467
confidnet,do0,MSR global,rew2.2,99.18571606846558,226.4313260165126,222.7418048611424,223.2630471419829,206.8713141435977,228.010262623413,223.7091010389071,164.13802946673522,355.728428651132
confidnet,do0,MSR,rew2.2,99.20122962517942,226.42640026554287,222.73941361022327,223.25434608873857,206.85718310285148,227.98952335255726,223.6930771172916,164.10723484302838,355.69416685690237
confidnet,do0,MSR class,rew2.2,99.24223459009032,226.4515922877973,222.81660272132368,223.3001795546267,206.88044003420146,228.0022313320169,223.48666664728452,164.18925525199128,355.63107750711214
confidnet,do0,GEN,rew2.2,99.26809631490518,224.92036827604184,221.14321749268112,221.47102222982062,205.11115611269534,227.65724760182857,220.33712165045216,163.69897052691002,354.6055251239294
confidnet,do0,fDBD class pred,rew2.2,99.27451605292008,223.43293840856376,219.93094120252454,219.33205149794904,202.94754186520845,228.6723845829954,212.48194031040512,158.44709044550729,349.9224207865697
confidnet,do0,GEN global,rew2.2,99.2981777928949,224.68522061802742,220.907756997941,221.39852123915585,204.95335534141364,227.9146349709954,219.9314751509581,163.75705847180802,354.39626981868184
confidnet,do0,CTM,rew2.2,99.34843457345445,220.37372903038778,215.0092526466477,212.3233559633963,196.46040409593041,224.47140039057894,209.88929074329707,156.1540289302565,346.8289657294173
confidnet,do0,GEN class,rew2.2,99.3836123524093,224.50502849622518,220.77053753801573,221.2526050832684,204.79797793957658,227.87213797833869,219.24282109537472,163.74895678961076,354.0966697157588
confidnet,do0,PCE global,rew2.2,99.69944199200415,226.55433051502206,222.81823977914823,223.16164721681017,206.7346966375215,227.82014744181865,224.25140012487068,164.23311874854437,356.1311108363112
