model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,GEN global,rew0,50.97855751335961,356.1764118720715,382.3178590102456,407.50368387757237,408.13649867467575,339.43926031500735,350.73746723332323,144.23273217593467,552.6176466610157
modelvit,do0,REN global,rew0,51.96402817466206,364.4711986503624,384.82534178081784,405.05125621880796,406.82834852305984,344.9404134133043,350.3791058548653,161.47701210404918,549.6143263480989
modelvit,do0,GEN class pred,rew0,52.32546044461644,354.629697154999,383.8470991599755,413.4139726675718,419.0680888420278,337.62409680755735,348.18090772523345,137.72218762982465,552.0169312122337
modelvit,do0,MSR global,rew0,52.68807915542633,342.01964481855026,378.01075048093725,420.2271244550892,422.56519041797765,333.29710315761633,350.82715727011964,123.08082741449923,547.297159721167
modelvit,do0,GEN,rew0,52.7343516497819,358.9616990782248,385.6247185962357,414.5520498866784,416.072201491301,340.1398396942665,352.633438059762,143.12988896893754,552.8242988114803
modelvit,do0,PCE global,rew0,53.31475143138623,341.61729386140274,378.1198061857782,421.24488254714925,423.5679726124252,333.0881784505488,351.00082407866955,121.90093428476705,547.1167938088646
modelvit,do0,GEN class avg,rew0,53.47443464013319,338.29806920865406,402.8723288253608,414.24247938666076,429.6190956110128,355.5108396730674,419.77932807137984,153.1218843311692,605.8259339892692
modelvit,do0,REN class pred,rew0,53.49016543951048,369.69298900290227,388.7777214853201,411.24860260564253,417.5938681609491,347.4396935003212,343.6034086877589,169.78122703553998,550.1271241710119
modelvit,do0,REN,rew0,53.62984289177648,368.18001022040033,388.6456376339985,411.7106125252964,414.38846577492234,343.6194543941977,353.54825079020736,159.0547907241601,551.4395202954593
modelvit,do0,CTMmean global,rew0,53.92250558970129,353.73108009968615,357.10209320359644,395.1399225426878,369.2274034531473,295.3355330349375,355.9426718335862,120.68880239664661,453.6304950693428
modelvit,do0,MSR class pred,rew0,53.99184000419784,344.153456195367,381.1347289974886,425.95802089508624,433.149089176135,333.63753935122617,348.8367969305683,122.08681242044418,547.2982849729232
modelvit,do0,MSR,rew0,54.11683881441087,345.64679852103546,381.59711262932484,426.00220453756674,428.7099857426031,335.4186719909627,352.8028093537654,123.21192958079693,547.8562906501099
modelvit,do0,PCE class pred,rew0,54.34694102937982,343.6610582831187,381.129545479817,426.80825546797615,433.99502731703024,333.45920469087844,349.0009514900836,121.04970502980866,546.9814896920058
modelvit,do0,GEN class,rew0,54.412194517239605,359.55263993997295,388.97500557142496,422.643469943523,428.2174306546709,344.5029435234975,372.428336437463,140.46944877790278,564.5942897240536
modelvit,do0,REN class avg,rew0,54.461063722603015,359.75552361129644,407.20068027988657,409.43660802501404,426.18179559287125,363.4546335795207,415.3158980890206,186.9783239913586,600.1801810491677
modelvit,do0,CTMmean class avg,rew0,54.59101724557247,379.9150605387932,369.36447060424234,387.1352358642414,357.63016609514597,321.5729528267756,328.96841098176185,129.69980221798477,444.7197925089289
modelvit,do0,PCE,rew0,54.68208217954649,345.14948357102014,381.6240193315703,427.0065582197391,429.7019844311948,335.1330594492501,352.9149043007268,121.86290855948307,547.6021354108134
modelvit,do0,MSR class avg,rew0,55.047533533415006,326.62851994745904,400.0744991872632,426.06037013817104,442.63864254954206,350.40509823426635,421.36915621662547,133.37033054438197,600.8297711930334
modelvit,do0,PE global,rew0,55.20191767602787,340.0232746874641,378.0668974166419,428.27691547976946,431.1131942492235,331.91688066476684,352.3910911722535,119.48667210918866,545.6918613830569
modelvit,do0,CTMmeanOC,rew0,55.576936090694154,351.0352144493727,347.99766325135886,399.0763922427256,370.6090244502379,275.4241423824299,363.68996046289425,113.22180972541778,457.84858377202045
modelvit,do0,MSR class,rew0,55.61152371809853,348.51419964896024,385.9103980538863,431.91282967577035,437.91271100675146,340.1945655569834,372.16972039901776,125.29776483731953,561.8588623897426
modelvit,do0,PCE class avg,rew0,55.64053994926284,326.0869720005658,400.2243588866078,427.2531229781883,443.769705819326,350.21999701913467,421.7471782992305,131.96634968579724,600.8129218624966
modelvit,do0,PE class pred,rew0,56.12220005674709,341.72717404236965,381.08023975180794,434.6799561937093,442.36328765472234,332.48417834989925,350.61215353952775,118.47226805834812,544.9932609956833
modelvit,do0,PCE class,rew0,56.173129974340554,347.9889018847207,385.9889182120214,433.0378422462298,439.017020953708,339.96548442770563,372.3945705637487,123.90477499425117,561.6804356404978
modelvit,do0,PCA RecError class pred,rew0,56.41368595106737,348.0226398857521,307.65787749468274,374.0025567127688,337.6894853767414,235.5890211994112,420.94540113433123,97.96072191303557,511.7101863225054
modelvit,do0,CTMmean,rew0,56.49101967215896,354.3405244604105,350.1592491414296,405.54106344485615,376.44843751701745,275.78219494872053,371.37380775568045,113.07733328294212,459.20694175380584
modelvit,do0,PE,rew0,56.52062146054455,343.55642872399375,381.4327281438403,433.80789092914586,436.93853989846247,334.0160253396757,354.0405596018318,119.39050636530347,545.8364824173475
modelvit,do0,REN class,rew0,56.730000685215394,389.7582757317624,397.0900309692861,414.8852279539051,420.4292508507606,357.04264436060237,368.13719884476023,189.70289048069694,563.159021362555
modelvit,do0,GradNorm class pred,rew0,57.49725036763882,363.7278482432094,355.54741028974775,387.94601129309206,366.54228788091643,307.69816230641027,269.5867144413703,109.77021548452694,473.6130313399652
modelvit,do0,PE class avg,rew0,57.7920824161612,324.0165201231927,400.5353772268742,435.9961869852267,452.78090714842136,349.20316805582127,424.3035572210227,128.89074813586927,599.2964399473639
modelvit,do0,PE class,rew0,57.973678621908995,346.013518384428,385.83352550196827,440.3371993860168,446.66988033223834,338.8730766911558,373.555923419079,121.33706932098123,559.9790410603526
modelvit,do0,fDBD global,rew0,58.426319256335354,359.3703390905695,385.506356315172,420.58895140795494,441.4219780993946,338.2708724138646,410.2826851256217,120.01130832825011,597.6676502621231
modelvit,do0,GE global,rew0,58.607465975791385,334.1108650279301,377.44135433052406,450.24414728208797,454.9956958523303,330.5465911538434,359.27790793949913,116.84597612938326,545.0368888391572
modelvit,do0,KPCA RecError class pred,rew0,58.78226770631535,349.71759885533527,309.90373843717697,376.4852874785846,339.24563649024543,235.0367564744809,426.1381525199231,100.07408907642991,515.2719856352163
modelvit,do0,CTMmean class pred,rew0,59.33613049996516,357.6228730343701,373.65428939788524,418.21998464726687,392.9604676175394,308.50229078534824,365.96587657554903,131.38966647740514,456.35829682445217
modelvit,do0,CTMmean class,rew0,59.72569510473225,358.57556453368704,374.23625750416625,418.75117498614543,393.56246518502854,309.4990265751048,365.9890779503571,132.57826364701316,456.3544681139027
modelvit,do0,GE,rew0,59.85556124146611,337.81256099493305,380.5951773214741,454.44946340788556,459.24243580807587,333.1491504144329,359.9634259949942,116.84764471581647,544.0232042376804
modelvit,do0,GE class pred,rew0,60.06638995952269,335.8319332926349,381.2339407519381,460.1229985315078,469.2822850251634,331.8393967598004,358.19341414114217,115.45707111851775,543.0565039993195
modelvit,do0,NNGuide global,rew0,60.836411808044296,316.52714858364936,377.6566258892334,472.393354885504,471.4866402513545,335.3609647121104,392.31823789797426,117.71266288061449,521.6395428845078
modelvit,do0,KPCA RecError global,rew0,60.951171962564466,381.6189181149974,355.2573597477073,365.9088752673197,340.3118244020334,307.2659515638723,304.7224591194904,128.62032646205833,459.30687876040093
modelvit,do0,GE class,rew0,61.12580528985619,338.95399995302216,384.4058910220285,460.92904960421475,468.3161817372652,337.34415087118646,377.78343429950746,118.73722800323822,557.5001115221013
