model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class pred,rew2.2,67.27982171454804,312.15197382271816,327.16198264108635,353.33953149280137,315.9161647637943,331.45699150046056,303.19736488385195,218.08402709518333,554.6529243174394
confidnet,do1,MCD-MSR class,rew2.2,67.39053551066641,312.5137490718656,323.90440776943626,349.07916720769083,311.6517366120746,330.43842010899317,301.23240674073156,212.74002514610729,549.4926471936631
confidnet,do1,MCD-MSR global,rew2.2,67.3971133149436,312.0841437886206,325.2721448589905,351.29542474853747,313.6093194851447,330.95432229459595,301.56459869334157,215.37217773424572,553.159450543791
confidnet,do1,MCD-GEN class pred,rew2.2,67.778493167275,311.86654796485675,326.33937504433015,352.80633115560784,315.16845698884083,331.33591362644336,302.51078275086445,217.7658989512272,553.7669476586824
confidnet,do1,MCD-MSR,rew2.2,67.79235695527298,311.1825463318548,315.575229306926,339.1778619620858,303.7017829020907,330.5562343772758,302.693961653226,205.95982821526135,544.8436155119639
confidnet,do1,MCD-MSR class avg,rew2.2,67.86096915943911,312.31582035663723,325.07225154674586,351.5484198496905,313.735774055283,332.9812020387731,299.7700422935014,214.74833985149263,553.2855938048822
confidnet,do1,MCD-PCE class pred,rew2.2,67.87315416477439,311.581267008679,324.91595717210544,351.1833157645341,313.74776530138246,330.5370161828949,301.26485809071283,216.67378227445565,553.1615392808529
confidnet,do1,MCD-GEN global,rew2.2,67.91769204264921,311.84470880213104,324.7817097356463,351.1089258086963,313.2370722914293,331.05006481108546,301.2007167169485,215.3754442160448,552.6178524335503
confidnet,do1,MCD-GEN class,rew2.2,67.925042606594,312.3910980344618,323.36446305260245,348.84788721231973,311.15430679520625,330.5239255560458,300.76647434606235,212.6210172756326,548.9141860070287
confidnet,do1,MCD-PCE global,rew2.2,68.02342084411842,311.54495599734116,323.2517707449518,349.3873153781484,311.729175447853,330.1921822990127,299.96962594473996,214.34729177771473,552.085503055345
confidnet,do1,MCD-PCE class,rew2.2,68.03189089426952,312.03750845150694,321.9635419286466,347.2449326015641,309.8388598370525,329.72375236404093,299.72226308578723,211.78410183983956,548.4773770565042
confidnet,do1,MCD-GEN class avg,rew2.2,68.39087973101996,312.0623846924361,324.75196471268293,351.60903059350284,313.5687850423243,333.15816561008336,299.4960218284965,214.8487743962372,552.7141940830177
confidnet,do1,MCD-PCE class avg,rew2.2,68.47142375948476,311.6869985628296,322.9865326219648,349.5528273914008,311.7745905689643,332.1700287842867,298.09530879878344,213.66724487982333,552.1069957615346
confidnet,do1,MCD-GEN,rew2.2,69.11495604476269,311.8470204987883,315.9372436653722,340.00931941551835,304.17072443373706,331.50585415489326,303.2320106242677,206.71031757425834,544.4324354072443
