model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM global,rew2.2,5,146.58911339202092,272.1115656173639,235.16437890748432,238.32461719681916,221.58678653244203,274.37563502754205,248.746706703666,168.3035621412069,363.9063504096764
confidnet,do0,CTM global,rew2.2,3,146.01798261139683,274.2893657330434,242.0136097216125,239.74588109660223,226.77336872846408,274.4201344224889,244.88555294723972,167.04062509320175,357.87458660570894
confidnet,do0,CTM global,rew2.2,1,151.77163920457343,277.79323651275456,243.9824107491196,245.8779253671413,232.53317017712345,278.2171486554398,245.57265001725557,171.76056260226397,362.4660916600967
confidnet,do0,CTM global,rew2.2,2,149.17535129477562,276.2664238187249,241.04059379528647,246.7836248448825,230.24337234130056,273.5371797058552,247.16230520821304,166.71971699946326,356.19272926550866
confidnet,do0,CTM global,rew2.2,4,147.46228275942906,273.3684382423774,227.1236660693573,231.3915358385578,215.9091524124207,272.50996046422244,244.7751049270685,167.36030455655907,356.1209611984313
confidnet,do0,CTM,rew2.2,5,146.60354110322467,272.09409975254874,235.2904673594327,238.46630236962477,221.7150283334635,274.35169253278303,248.9531995823873,168.27474086608518,363.95863711807806
confidnet,do0,CTM,rew2.2,3,146.06428899662907,274.288115523652,242.12050024631483,239.86447642025624,226.89146730997237,274.4363517997088,244.98402667654867,167.01634222085562,357.9269686788287
confidnet,do0,CTM,rew2.2,1,151.80487237065302,277.690604365454,244.09585312095385,246.00927226563292,232.65178890035932,278.17126050291904,245.7808831385048,171.73371452051518,362.41928667520256
confidnet,do0,CTM,rew2.2,2,149.20603735312818,276.2100807478444,241.08243051561703,246.8977228546921,230.30457799167093,273.5410487657775,247.32116693537364,166.64122733182288,356.26379108355246
confidnet,do0,CTM,rew2.2,4,147.50829791895882,273.35760371079243,227.255433589181,231.5607351338441,216.0783989143517,272.48540375887825,245.03955628450532,167.34630429103763,356.0870271058845
confidnet,do0,PCA RecError class pred,rew2.2,5,148.02197665296544,275.5663394997061,244.11340307357145,250.19853241744795,231.48669516736635,275.0427652930387,245.12184374286403,167.95577584220038,359.80071924843014
confidnet,do0,PCA RecError class pred,rew2.2,3,147.6908052717912,274.20425657612805,239.92547122513196,241.19569074460983,226.98141326333013,274.8198885607824,242.11786398491932,169.5333271905579,364.2459039500745
confidnet,do0,PCA RecError class pred,rew2.2,1,152.1526811934466,276.8977742328116,247.97518422434112,252.5600525573821,237.72557350400305,278.17551396489483,246.21337791756068,172.08967609771886,360.9803776784408
confidnet,do0,PCA RecError class pred,rew2.2,2,150.3261788510113,276.42067773071034,236.23674045763832,243.35807461541663,226.78990702065408,275.6308434971908,247.261966377,168.0512329935296,358.33788500288875
confidnet,do0,PCA RecError class pred,rew2.2,4,147.58372316780037,275.25445056781723,232.25590987432875,237.2099308307725,221.57986889242156,278.0492358002237,243.64256849499145,174.2105367409518,361.82957813303057
confidnet,do0,CTMmean global,rew2.2,5,148.49920491328913,276.21431467027776,245.68005131809505,244.4411891034425,228.9533965685415,272.37317093104974,250.9001837109404,168.20387434586405,364.21662710118926
confidnet,do0,CTMmean global,rew2.2,3,147.53330718026308,274.19965339449624,249.05271614512557,245.3237546968516,232.8714653477642,273.7228426685158,249.55123740677348,170.5128070410244,357.92377676304926
confidnet,do0,CTMmean global,rew2.2,1,152.71691478799767,277.1763267315434,250.03183534797637,252.75453664962623,239.77985656444028,276.1088857214061,250.08646580559747,172.62396864675517,362.7068466935791
confidnet,do0,CTMmean global,rew2.2,2,149.95957379909666,276.4739920229524,250.2338052030524,257.78186703368914,240.5169053198862,272.98665459698867,251.52738567503897,170.25212341245518,358.87121584156387
confidnet,do0,CTMmean global,rew2.2,4,147.68051960111805,274.9635898763884,238.44667752137036,243.1952886024067,228.5662086658979,274.12356280965423,250.2439145895487,170.51338314295845,356.17085477427605
confidnet,do0,CTMmeanOC,rew2.2,5,148.59327384799073,276.2354615220168,245.9920765228868,244.6903865191948,229.20209220845464,272.36157906351093,251.13867822361792,168.24417618569203,364.3480094523703
confidnet,do0,CTMmeanOC,rew2.2,3,147.5327107950971,274.109045165681,249.0812585414785,245.3706821131116,232.95756248135623,273.7123762175941,249.6815749110104,170.42602217328024,357.8941310661993
confidnet,do0,CTMmeanOC,rew2.2,1,152.80876478635315,277.1302928568195,250.25470851960355,253.05082574621304,240.00787432724263,276.01290635594006,250.4889592305364,172.58793392078869,362.8393207521744
confidnet,do0,CTMmeanOC,rew2.2,2,149.9902181968131,276.3961193396093,250.51997695612988,258.17556947389016,240.8394542450953,272.908158572975,251.7884932747382,170.13596552556552,358.9800864034219
confidnet,do0,CTMmeanOC,rew2.2,4,147.76623060757208,275.0494700701803,238.687615204409,243.54930360667583,228.8576234686584,274.1457186388995,250.60092610884405,170.43925122638277,356.19241041867025
confidnet,do0,CTM class pred,rew2.2,5,148.99608911705192,273.3346156181017,240.4290354933221,241.2041482881816,225.3952359538697,274.64580726964704,252.33274356301249,170.1165960645544,373.8153900130849
confidnet,do0,CTM class pred,rew2.2,3,147.80567210725656,275.4907229730079,248.94900339977647,243.6033116378861,231.8025533120316,274.1817250989004,247.0241115756196,168.40870222373647,355.5578636883264
confidnet,do0,CTM class pred,rew2.2,1,151.93302062243816,277.8023026367331,243.26017967452387,244.29541172428455,231.00887348382705,277.1263511266088,245.56184576592327,171.16473873017273,361.7553858626828
confidnet,do0,CTM class pred,rew2.2,2,150.56429830267848,276.65106003380185,253.60082608068905,257.02346504183924,240.48732232411064,271.9756775581611,248.8979460949483,167.44059020205006,355.5415282107502
confidnet,do0,CTM class pred,rew2.2,4,147.5465884345025,273.24988230084006,227.8341880081984,231.5758923295976,216.4339909848885,271.792332956745,245.8898834689775,167.20441852636304,355.6959273658406
confidnet,do0,CTMmean,rew2.2,5,148.61992880981305,276.2716104194298,245.9893262806605,244.59515580555205,229.13340472370487,272.3026473915268,251.10193666310656,168.12478543034405,364.22870900495326
confidnet,do0,CTMmean,rew2.2,3,147.5976469685758,274.1654013182955,249.2197824915685,245.4017169564205,232.9803223817124,273.65358262078774,249.67072851932537,170.32308479208055,357.78041498952496
confidnet,do0,CTMmean,rew2.2,1,152.8341577601168,277.18014254827625,250.2459300328757,253.00291201094595,239.9426419468356,275.9733634321695,250.3962222287032,172.45560851005794,362.7098958687128
confidnet,do0,CTMmean,rew2.2,2,150.053966317916,276.4470281724956,250.52865095691857,258.12809559888404,240.79455135958767,272.86550947948564,251.7629551933358,170.0259549523244,358.9056374638519
confidnet,do0,CTMmean,rew2.2,4,147.8074657530725,275.0815084800633,238.7068418055433,243.4726229740241,228.793728582814,274.07875623701466,250.53602808117455,170.3479056033102,356.124107069736
confidnet,do0,CTM class,rew2.2,5,149.09009800749817,273.381540469011,240.51000695369285,241.0642273828687,225.32783912693665,274.61475785270534,252.5255343368013,170.1112194791678,376.0098380619461
confidnet,do0,CTM class,rew2.2,3,147.91992882923157,275.5834496855108,249.149945583956,243.6528851718983,231.9190014800096,274.15333239769024,247.0364070189766,168.41423553457287,355.5027085016516
confidnet,do0,CTM class,rew2.2,1,151.9155834299342,277.79250732592607,243.1997255741075,244.23214266547575,230.95048284105013,277.1104365110213,245.5319843416402,171.11991704084028,361.7485202497656
confidnet,do0,CTM class,rew2.2,2,150.68442128972282,276.74179241580777,253.7019010209916,257.0313445793229,240.52808177351628,271.7973650755091,248.8563723838251,167.30990554184334,355.4378716455178
confidnet,do0,CTM class,rew2.2,4,147.5684449003809,273.266729782069,227.80561933629536,231.548624035385,216.40939431972268,271.8011308535964,245.89504342050927,167.20626771796253,355.7032237704573
confidnet,do0,PCA RecError class,rew2.2,5,148.47154680852464,275.83015364973426,244.07989775619035,250.1071624414874,231.31264793398032,275.2893448207288,245.28250438580625,167.93761397776464,360.3544053744797
confidnet,do0,PCA RecError class,rew2.2,3,147.7813563501107,274.2238839413107,239.74290222343168,241.0644318997967,226.84104382704237,274.90295415534007,241.6975728169362,169.32508677431454,364.1166866634756
