model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,GEN class,rew2.2,70.93655255355407,312.0845890520678,316.672197998634,320.6173431968882,291.53298860001104,327.8398551066037,321.17930738226505,198.02614379858966,528.666800566925
confidnet,do0,GEN,rew2.2,71.09329176390958,311.727530802658,318.50239999653377,322.20089791525385,293.069761581806,327.88200345182594,322.57718250777725,199.26771554392354,529.6540054162018
confidnet,do0,GEN global,rew2.2,71.09683779244985,311.66912988154456,318.3621536434479,322.08267705624706,292.8449172239975,327.65578777394023,321.7238392362664,198.92312983194606,529.7248268947332
confidnet,do0,MSR class,rew2.2,71.26001483733869,312.30640315058474,318.4671839228555,322.46458256392583,293.5169692818612,328.77416600733994,323.32154093535485,199.14293869283776,530.9500441343345
confidnet,do0,Confidence,rew2.2,71.27458959067525,312.0561856993714,316.4835207010018,320.6031154511628,291.39502563445495,328.93034756981234,322.7339178240921,208.75817108342386,540.3041329318887
confidnet,do0,MSR global,rew2.2,71.3534584533242,311.9287123116781,320.3271385842171,324.16922400539346,295.10248634116704,328.8364142844808,324.1687458041126,200.1160732119807,532.2521916741847
confidnet,do0,MSR,rew2.2,71.37072277636939,311.93085800650164,320.0784220416575,323.87398288538816,294.9021399276836,328.87245678613,324.5650872470085,200.24629171955482,531.9075526353765
confidnet,do0,PCE class,rew2.2,71.98923914005152,312.00967425297875,317.5991235334612,321.6182914077739,292.6509087826863,328.46353512600933,322.92697105066645,198.62021839208597,529.9138828526253
confidnet,do0,PCE global,rew2.2,72.08379384695499,311.6337339018236,319.5016392317413,323.38304629945003,294.2850568560863,328.5451327369145,323.8696039232586,199.63464335453074,531.2823076472555
confidnet,do0,PCE,rew2.2,72.09649665135012,311.61747788804956,319.2235761291012,323.06294145357333,294.0604035549196,328.5674282848224,324.25183490597783,199.7481392189477,530.9266687832072
confidnet,do0,GEN class pred,rew2.2,72.22658977954544,311.9818766135374,322.8505595274213,328.37653267767246,298.4710455193369,329.19880247030216,325.4418034764009,204.42234978696902,532.52727748789
confidnet,do1,Confidence,rew2.2,72.71925937817821,321.3072252009425,285.99484836216675,304.16941166854883,270.3755369049809,329.9402883672536,294.85759389025793,201.15050273545162,552.6714226922667
confidnet,do0,GEN class avg,rew2.2,72.76405232038297,312.36792860818343,319.62428097394184,323.70632527841246,291.77498620431305,326.7534872331145,301.0613285773436,197.0741094358924,529.6846215923998
confidnet,do0,MSR class pred,rew2.2,73.08054974236163,312.15124642013836,324.4572796227627,330.15041754625645,300.3686200381531,330.47266867323935,327.88456617814876,205.20103705636524,534.3287379407763
confidnet,do0,MSR class avg,rew2.2,73.27307767486718,312.56200364077574,321.2989773704241,325.52793452810636,293.70552933598236,327.63499655253776,303.5962789693525,197.76421628333625,532.2543607343666
confidnet,do0,PCE class pred,rew2.2,73.49612231213443,311.92544774025583,323.5313952229487,329.16286670265123,299.3998706091298,330.16658701912536,327.3056712924126,204.46166959927592,533.3690903896315
confidnet,do0,REN class,rew2.2,73.61290823630989,313.8742408534064,312.0749558674611,315.6661006907153,286.45168083318873,327.8543777153319,316.4538166627418,197.21208159400294,524.2868367793088
confidnet,do0,fDBD global,rew2.2,73.86185519306454,315.522245967876,288.42997956356805,286.3125435556853,261.0646378613393,324.4021820178383,309.8478847543429,177.3383587175261,519.9933814347347
confidnet,do0,PCE class avg,rew2.2,73.97180753430455,312.13976990596274,320.39569641439573,324.61488053694944,292.72930885824996,327.1415590717768,302.75881069848833,197.0882711649942,531.071923126088
confidnet,do0,REN global,rew2.2,73.9762475231507,312.5278230747218,312.8639132537439,316.06826932781354,286.94255598747907,326.693776033536,316.6073297257273,197.0480553701513,525.0261502851512
confidnet,do0,fDBD,rew2.2,74.38253041196019,317.5453368281974,286.11871476471066,284.0301129637685,259.4688490608595,326.67410779397903,314.7851835860298,177.22736664883035,519.5472375306116
confidnet,do0,fDBD class pred,rew2.2,74.4584008918687,316.95327430157755,287.4211854008543,285.9801315640749,260.19764309115413,324.7750561992701,307.88796826762575,177.6206706582452,518.6393954016105
confidnet,do0,REN class pred,rew2.2,74.6482813149199,313.1280806816582,316.9713882304862,321.91110609353643,291.92567852373315,328.086329114798,319.75695653246953,202.1566402417497,527.1747379197303
confidnet,do0,REN,rew2.2,74.76762004521831,317.71755680457824,316.3263710506597,317.45129248227073,288.4021263224181,329.9977438969613,317.67485262902335,201.01438154129832,524.5933479040963
confidnet,do0,REN class avg,rew2.2,75.60986372957058,314.6315938369342,314.70328951456565,317.76749750212025,285.90131684902525,326.4011309029734,295.7801915363131,199.10000374302643,524.1985062899538
confidnet,do0,PE class,rew2.2,75.66511264254288,312.5293058772591,315.8742387007577,319.801816774493,290.8446375846312,329.45723057033456,322.0746553717314,198.0593223936452,527.6903236898181
confidnet,do0,PE global,rew2.2,75.76580820958803,312.2371796252668,317.9830991708668,321.8603552757068,292.7728105459761,329.77302897806476,323.4574958613286,199.21376334894018,529.3293560668268
confidnet,do0,PE,rew2.2,75.78540936146294,312.2305265007452,317.67534357678403,321.51377077515275,292.5253007013961,329.8118905585094,323.8457445647304,199.35039598424356,529.0124641886052
confidnet,do0,fDBD class avg,rew2.2,75.8504793927332,316.15312876075376,294.9154282242288,292.9633615797918,268.5849305994395,329.3136921709074,325.51283321054115,184.46251919332295,521.5567687465596
confidnet,do1,MSR global,rew2.2,77.08707559677228,317.9469724936525,284.21012590380536,298.56204720173776,268.7272889889284,338.49740836736044,293.2766031082987,230.05927221997666,578.4930941513148
confidnet,do0,PE class pred,rew2.2,77.10039634041023,312.5518458083005,321.06064646548924,326.2923934182335,296.65848408709815,331.2212581956436,325.8390352935857,202.87505163338218,530.5931481315031
confidnet,do1,MSR,rew2.2,77.1217100615846,318.13919493263546,284.3775298500518,298.6675452082294,268.87464188177444,338.7699739166514,293.5797543140467,230.71183535152318,578.007915021906
confidnet,do0,CTM class avg,rew2.2,77.21726566197144,341.2443675696048,275.3031980056328,273.86848025006003,250.637020320158,336.8891346459269,327.8465019070543,178.43710009680007,520.002315938816
confidnet,do1,PCE global,rew2.2,77.52289301115216,317.1006229773324,282.01834292010074,296.21112987268134,266.7677095874653,337.61371810872043,291.4158753478133,228.91738598421148,576.9860162569615
confidnet,do1,PCE,rew2.2,77.53808014723214,317.274305381506,282.16021293362337,296.2988294576733,266.89165497066244,337.86224785975264,291.6971805766039,229.55829051410433,576.4897471610595
confidnet,do1,GEN,rew2.2,77.65707426690237,318.3886517013054,286.2459768417603,300.4987415278048,270.48241062054,339.32912574978445,295.6330925488329,231.30080028327748,577.9970343131707
confidnet,do1,GEN global,rew2.2,77.67880640974553,318.3256758450357,286.68614239675037,300.8647940397523,270.8657800654003,339.2122831598111,295.5024227872459,230.79722837233854,578.4775549363363
