model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,fDBD global,rew2.2,2,96.58664818747476,220.24975545508863,215.3579682190893,217.223966228049,200.32273200136964,225.3555512428665,211.50098051733156,157.1041059423194,348.82996256502764
confidnet,do0,fDBD global,rew2.2,4,100.58209259395922,223.05881884347585,219.1028451029053,214.67071009964667,198.6627603542475,226.60178816785444,211.24695658060853,154.49656120296615,350.83405160867284
confidnet,do0,fDBD global,rew2.2,5,100.65209263933096,221.34056653291717,217.66456091688653,213.8291287861429,198.41520957398143,227.51330260302197,211.81466799620247,155.51324376586626,346.25258938042964
confidnet,do0,fDBD global,rew2.2,1,97.30298768207204,220.7952414589492,214.8324499437408,213.94478306956265,198.10810041857795,225.67212058159728,210.71861556241703,153.36082010946342,350.4204376579781
confidnet,do0,fDBD global,rew2.2,3,99.2056172968474,221.02536855033264,218.6333904165625,217.843316330071,200.82647285155295,226.4766317799716,211.35217787929685,153.62850835278735,344.4822252533458
confidnet,do0,fDBD class avg,rew2.2,2,96.21057409378004,220.2563685161672,216.6451656868072,218.44564922892175,201.75914909935983,227.3274331718732,210.54018560340347,159.38936751009166,347.29343103518005
confidnet,do0,fDBD class avg,rew2.2,4,100.90582097841737,222.97630548651145,219.1584054828149,216.95756861688585,201.1737497379383,228.9762555893734,211.03925071904524,160.4248717695496,350.11956012701626
confidnet,do0,fDBD class avg,rew2.2,5,100.6833209783468,221.2439530727358,217.46243830255037,216.25664501049744,200.47082263336728,229.9203437268349,211.3077804885466,160.67894013855334,344.3567875006018
confidnet,do0,fDBD class avg,rew2.2,1,96.9214567956264,221.02534220139697,215.10821524469807,215.45644960125856,200.19158305119905,226.16719069040016,210.0015512936465,159.00183623135436,349.09321204735227
confidnet,do0,fDBD class avg,rew2.2,3,99.68127784119456,220.99822984266137,217.9237380837382,219.31293520821157,202.8302760290674,228.7234003436998,211.2579123687167,159.1314577457962,343.3762932255784
confidnet,do0,CTM class pred,rew2.2,2,96.4744814857113,219.5194260644949,214.23252132486505,214.1416395672876,198.0332217332425,224.412096232776,209.47485442039587,160.2364193967257,346.63551223688614
confidnet,do0,CTM class pred,rew2.2,4,101.09622225739518,222.81577597062628,217.9923129317198,213.1896980213173,197.5434931326975,225.8984750217769,210.353004744254,159.222138503699,351.0659766087338
confidnet,do0,CTM class pred,rew2.2,5,100.66900616505882,220.61794838922492,216.07904659579552,212.93915687575333,197.498073563419,226.77451880146396,210.34737966622407,158.5070543413838,345.3567877391493
confidnet,do0,CTM class pred,rew2.2,1,97.43977779366186,220.30500128747636,213.47123195874585,212.3332110762374,196.60967349414443,224.39420205363385,209.21751004671276,156.94437440693395,348.58062503238784
confidnet,do0,CTM class pred,rew2.2,3,99.61091979109428,220.54955737306463,216.6669780532281,214.5151250596253,198.275073509818,225.5143572626436,210.21033557516543,157.8304746305404,343.5016954946876
confidnet,do0,CTM class,rew2.2,2,96.48655559384336,219.5125240372754,214.20958266334796,214.11961417456808,198.01480210012252,224.39077799641848,209.4440257512125,160.2702206957214,346.6728889926814
confidnet,do0,CTM class,rew2.2,4,101.1117037107324,222.8092071170478,217.98565048138116,213.16803593359245,197.5220960447544,225.8860943711148,210.31495512524933,159.2851632403732,351.121553634878
confidnet,do0,CTM class,rew2.2,5,100.66349380643804,220.5712134583963,216.0352945385027,212.8875142764097,197.449299994564,226.7419413049857,210.27497704195332,158.50427420663138,345.4216188262016
confidnet,do0,CTM class,rew2.2,1,97.448370381868,220.29831839205312,213.4575846418077,212.3096366089333,196.59029152381925,224.3871991586368,209.19269619957697,156.965555170839,348.5627599266708
confidnet,do0,CTM class,rew2.2,3,99.63454937120127,220.53643458640383,216.65818095136245,214.48793571886964,198.25603688351703,225.50197362936376,210.18152209956136,157.8466434283194,343.4835271946253
confidnet,do0,fDBD,rew2.2,2,96.63647529396177,220.33114289719683,215.3611848667122,217.1328258015135,200.26777115602545,225.33530996567524,211.55461250122715,157.09268675831822,348.92463809585644
confidnet,do0,fDBD,rew2.2,4,101.18101852421226,224.2738439641452,219.9778047126737,214.62305347877304,198.7554606711548,226.58283666877787,212.0903947465274,155.93550613674105,352.1644823123608
confidnet,do0,fDBD,rew2.2,5,100.699870378564,221.4252098722908,217.677314399215,213.7864795286725,198.38396974781872,227.50999216218904,211.86036116067584,155.5214553301615,346.31120896851894
confidnet,do0,fDBD,rew2.2,1,97.3752469465156,220.92007014982215,214.8884467008017,213.8940415922911,198.0608915369399,225.68783148072956,210.7570099108725,153.3455823798979,350.5278055858807
confidnet,do0,fDBD,rew2.2,3,99.56167904799644,222.17296015524943,219.4307528922727,217.9957494835944,201.11822483054476,226.4242600130633,212.15720545079108,154.7635250972927,345.35112907369904
confidnet,do0,CTM global,rew2.2,2,96.76677778227976,218.8265222236849,213.14810255455507,213.0240179892114,196.8246183176732,223.47218513362307,209.41325162227255,157.77676444643637,346.7109977949152
confidnet,do0,CTM global,rew2.2,4,100.80769752754551,221.6838788070368,216.7673491208528,211.85832435135077,196.09622817609468,224.6727969618991,209.93032207120893,155.90868020571986,349.287493746841
