model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,GEN global,rew0,37.37773483473351,205.93407012575307,218.48217273309538,224.4910988917415,216.07703486459172,208.67824616654585,210.80462501444413,110.91936135460246,325.83584135322485
modelvit,do0,REN global,rew0,38.06436206961091,210.0904214374772,219.24165699520262,223.2292057204142,215.13093896664304,210.80705837527913,210.75282011697018,119.95082761566887,324.37730271972544
modelvit,do0,GEN class pred,rew0,38.2697670062077,205.13741517452044,218.94420052028718,227.0233638427112,219.29173348391222,207.57868604671734,209.41526631139126,106.17215726969974,326.0460315040631
modelvit,do0,MSR global,rew0,38.3963757503499,198.90296202080046,216.5419045979449,229.7598388656771,221.35153656492895,205.0746837978997,210.46916241374225,95.72079135778843,324.07508124295066
modelvit,do0,GEN class avg,rew0,38.42568048011442,203.86187813355514,223.1390807279016,226.70204966605144,221.79703331501725,213.05635970252396,227.61433921068587,114.52322666607259,336.953538044531
modelvit,do0,CTMmean global,rew0,38.45893585322819,200.25355617973273,209.32383471010098,226.49886254886496,212.25301494347497,193.26410709355338,204.5602269056929,93.9142501163817,295.3261752623731
modelvit,do0,GEN,rew0,38.50982619131593,206.8657648876603,219.76009507732107,227.5686928730976,218.77834170965198,208.98718559301446,211.88030719134275,110.2045878775053,326.33197426960135
modelvit,do0,REN class avg,rew0,38.670944902267365,208.0781985240254,222.63038257883454,224.56266749087067,220.3730241199402,213.45977713201,225.12350542515728,121.66992077117627,333.68636089035783
modelvit,do0,CTMmean class avg,rew0,38.688456927578954,205.249340638866,211.45512321585824,221.02326345921944,205.82246358504284,202.71812959686991,195.02225068722538,98.56057477852586,292.9995794299962
modelvit,do0,REN class pred,rew0,38.798720413247516,209.2027509204657,219.7117982146584,225.4586510413248,218.20600680128737,210.06967302790858,206.8623549198369,116.91214176442763,324.6230960402364
modelvit,do0,PCE global,rew0,38.940978193020364,198.65456720152366,216.65864863662017,230.59402523782984,222.1721345503256,204.94994646911832,210.6472183149467,94.94886305094914,324.0380112651903
modelvit,do0,REN,rew0,39.12630548164116,211.43790211856995,220.73989223650074,226.13398689965052,217.7171587759961,210.48917746658086,212.3074051164871,118.5609178738147,325.33436394830505
modelvit,do0,MSR class pred,rew0,39.20787535959636,200.04631228397437,217.77162669045015,232.4001204005138,224.68243633136922,205.28101731362258,209.33724939969193,95.12229033709022,324.53992400587606
modelvit,do0,GEN class,rew0,39.23836353116405,206.3097377595637,220.02319906022177,230.1093021602149,221.92513115083403,209.50666738710612,216.7009678434105,107.87994695699608,328.83788924822494
modelvit,do0,CTMmeanOC,rew0,39.297557335579214,200.13550108596985,207.22020285013605,229.46978063719706,214.20453410515105,186.18510373270263,208.20511735743244,90.06538969144802,296.53875583499354
modelvit,do0,MSR,rew0,39.31496302452993,200.19842237730217,217.90596984853656,232.539435365727,223.64543171256065,206.0719503787494,211.6639623987866,95.79539479418796,324.65857903274895
modelvit,do0,MSR class avg,rew0,39.37401811998448,197.27369805574605,221.81485141334133,231.9438221775939,226.95788115297736,210.12980741598625,228.5133354660351,100.43256930848251,336.0001962558605
modelvit,do0,PCE class pred,rew0,39.50651811582234,199.70349473741726,217.7805473404863,233.07266212484632,225.3516482988312,205.16989715417148,209.4930718628742,94.42433061579773,324.3780551702495
modelvit,do0,CTMmean,rew0,39.67378976171256,200.57462179569194,207.65702689677101,231.3289091334578,215.93589603183477,186.23291041729172,209.8628865931055,89.96844639131703,296.81250196687984
modelvit,do0,PCE,rew0,39.80033101578402,199.869897754084,217.9518992654775,233.35857507420297,224.45299210481193,205.8839848077643,211.78860442532732,94.90091125696306,324.5644849981157
modelvit,do0,PCE class avg,rew0,39.88164757085234,196.93252069732563,221.96081417374404,232.9046280381191,227.87107540701282,210.0212857690568,228.8438536006901,99.49495561591512,336.06550533105263
modelvit,do0,MSR class,rew0,40.04561574883253,200.69725077831043,218.98905417283655,234.62625976703694,226.33696454553336,207.19747808531514,217.0469747430563,96.89016882028713,328.4680554727298
modelvit,do0,REN class,rew0,40.05218010925287,214.15674577839945,220.88470119628397,226.64554948619684,218.89147504679096,211.25239486167916,214.47694883926897,121.5532162414614,327.3643827805983
modelvit,do0,PE global,rew0,40.28142012649187,198.34935375467467,216.9315474737874,234.1663837735933,225.8312889923152,204.43810538737802,211.3562819910626,93.66301672106128,323.70521494469443
modelvit,do0,PCE class,rew0,40.52719305152221,200.35772341334933,219.0793871882624,235.54612479027864,227.23858955491778,207.05711574593812,217.2636276871993,95.96892125956802,328.42942437450796
modelvit,do0,PE class pred,rew0,40.713134233813506,199.12941086014345,217.98589317180776,237.01620054814308,229.33854976813558,204.73182690041193,210.33113877890497,93.00369254040147,323.7649202708024
modelvit,do0,PCA RecError class pred,rew0,40.71656619864763,199.81450179763266,193.88355774875268,227.27860364357312,207.95023626029638,168.85025504185222,239.37823213673687,81.74540346964118,316.70267543903697
modelvit,do0,CTMmean class pred,rew0,40.87460986454076,202.80682295816416,214.91824087221326,233.48004674650142,219.19017808015687,199.0727463374979,206.454539529016,99.09172886961616,295.65976190087287
modelvit,do0,fDBD global,rew0,40.9039950122309,199.63134070258644,215.08640409455126,230.17294246864714,224.56219248394456,203.9819112638245,221.24784795651664,93.49584502402048,331.2062773564404
modelvit,do0,PE,rew0,41.091384996007456,199.52963266622646,218.13549898256147,236.884902238309,228.02667854669926,205.38009997729924,212.38019014451734,93.56632491543829,324.0883008004932
modelvit,do0,CTMmean class,rew0,41.18847819673101,203.5081351667531,215.31873010267395,233.87753126218908,219.60824250490614,199.89940951150635,206.47855260460057,99.93660249940545,295.70161224445985
modelvit,do0,GradNorm class pred,rew0,41.279266824291525,201.82892865405034,209.54739926455062,226.87722966767856,213.76856473501556,196.15517873384835,183.3533352994749,88.06450883765383,302.98386547890243
modelvit,do0,PE class avg,rew0,41.366386831168846,196.4454299428127,222.4732425552702,237.35714019155367,232.2895164640053,209.668580747262,230.32376897456896,97.8890657005287,335.96632216708355
modelvit,do0,PE class,rew0,41.8005972582183,199.91685949379684,219.3898268532201,239.4004052055512,231.1254540667353,206.65320226952812,218.06185496999902,94.59164479858926,328.0743257008352
modelvit,do0,GE global,rew0,42.21609284494311,197.75911448725557,217.36711847136468,241.84516492723083,233.69747707166317,203.924087023012,213.5362476537288,92.46252998412879,323.7693886881801
modelvit,do0,KPCA RecError global,rew0,42.23739645829482,209.89869014373977,207.11128873778802,215.264833827969,200.9420991999058,199.278359398576,191.16712328999583,100.21955409368563,296.3244128307049
modelvit,do0,fDBD class avg,rew0,42.262705260137196,203.5946766339245,216.99505741548933,225.56064219057453,220.40419215206603,213.07557992263477,211.08575996625262,96.64388219597149,327.4643237480777
modelvit,do0,KPCA RecError class pred,rew0,42.43090331145169,202.176567292615,195.31340877342257,228.61006430352842,209.05374906255634,168.90102315801897,241.60980117313744,83.4440219345152,318.7058960696219
modelvit,do0,fDBD,rew0,42.6820968941678,200.98619329580987,215.29657307251745,236.40276458765803,229.44637925112707,200.53601923136574,226.6588369089171,90.9879839252227,333.9862718606817
modelvit,do0,GE class pred,rew0,42.931595793739966,198.41960045853529,218.65412488239454,246.24754755266764,238.5507808720976,204.46314102192883,212.85072535650397,91.5717210316636,323.4424707096053
modelvit,do0,GE,rew0,42.97072486989727,198.96482137783354,218.4537992747084,244.19699068451783,235.4463388847827,205.02553775381747,214.20871527152272,92.39554896634031,323.7973771159116
modelvit,do0,NNGuide global,rew0,43.193970046024056,194.7552454535487,218.5564067534795,254.71689814257397,245.1144189651035,207.18427612756759,223.83590342039165,92.75107097280457,316.7196639312081
modelvit,do0,GE class avg,rew0,43.50457470750889,195.69787166098416,223.3345987421545,246.0152818425785,240.83073124722227,209.61441981040247,233.45027653053756,96.50001180812748,336.059240867934
modelvit,do0,MLS global,rew0,43.61272282508435,197.69447509193284,218.06898217657923,250.19250355114718,241.70158167272967,203.1010768031988,218.63203694465133,92.45018792116932,325.7459020455879
modelvit,do0,GE class,rew0,43.64554550950617,199.12950439077454,219.8664451488822,246.99010052636527,238.7557028699773,206.36896286957335,219.90697579367483,93.396427426906,327.88807999738793
modelvit,do0,NNGuide,rew0,43.88028569495117,196.2308765863757,217.98441659272459,255.94064285005865,245.31006765476272,204.59315017560033,224.98396446846974,91.14863835996219,316.5359243382667
modelvit,do0,PCA RecError class,rew0,43.92176774836956,201.07391936560748,194.21905620759784,228.19721851268818,208.62463480732345,168.0645147150245,241.917471188251,81.47740499372836,318.17713262682696
modelvit,do0,NNGuide class pred,rew0,43.95770153842078,196.2957854481802,222.00430172598664,259.34385988818565,250.50317528504578,211.32382482534263,224.91306405715932,93.74792057148065,318.05753851076406
modelvit,do0,MLS class pred,rew0,44.07521819319887,198.7859576309043,219.478227650001,253.41642152938502,245.21878226595885,204.07353120753504,217.0049448215189,91.88065375767447,325.3413996265258
modelvit,do0,fDBD class pred,rew0,44.18756841502014,201.49048478077142,221.3211835683653,241.60854142677348,236.58385205050052,209.69352632383166,231.42874871094227,96.92056764160145,339.92712258355834
modelvit,do0,MLS class,rew0,44.24285410292829,198.86310669826557,219.6047355119684,253.6117255197541,245.42626674563627,204.16711943181465,217.02099700744103,91.96558400381495,325.3659679944415
modelvit,do0,CTM global,rew0,44.353443975921365,200.02943142835255,219.86768271959664,242.13509403853254,237.29060131662368,206.89639283414311,240.3543188080044,96.31919582846135,356.3327827891142
modelvit,do0,GradNorm,rew0,44.39485484387954,203.15873586124044,222.40818005810564,233.37231870563218,221.38079442808393,217.38218259908504,178.8692746538324,94.8037422090192,302.42269430174093
modelvit,do0,MLS,rew0,44.47076553765846,199.20616366961923,219.1161726855424,251.67693039379287,242.52070073949227,204.41996890834423,218.93731888069175,92.7614271547466,325.5862237664799
modelvit,do0,NNGuide class avg,rew0,44.951386833809146,193.95195361537745,223.64335716888758,264.6677119042701,256.60205586202466,214.00343280534904,236.41174415111428,95.41052027543104,319.644998237443
modelvit,do0,Energy global,rew0,45.62430751270082,198.77157007658894,219.3737823166301,254.5611218949951,245.7071720999066,203.39431223726461,221.1243740730857,92.5372167355547,326.9443414939617
modelvit,do0,CTM,rew0,45.684626486406515,201.88960328451634,219.76586229597024,245.5097034676853,239.04855660968428,204.2586372678071,243.2165518411858,93.95611566853083,356.40969547279315
modelvit,do0,Energy class pred,rew0,45.69266180553509,199.5710114258753,220.5420873304866,257.3972943505145,248.83428496722178,204.41277388575492,219.38512488399064,91.865135447565,326.1742871524882
modelvit,do0,Energy class,rew0,45.85999817221399,200.01554947386148,220.70685148908274,257.5703125819806,249.1352148944026,204.2695306079678,217.81020522082963,91.1977723627297,325.5806189293626
modelvit,do0,GradNorm global,rew0,45.954355607082384,203.37771372816442,215.81898545957742,233.05758755795483,220.41817273939478,201.91665358319574,189.21027332270543,91.07848779470733,308.3543120426722
modelvit,do0,MLS class avg,rew0,46.35424096063015,195.32908044880256,225.36431275603496,262.2778482672842,255.69048418083048,209.37360010115998,241.70108596216247,96.09493179413246,339.067573640529
modelvit,do0,Energy,rew0,46.41756100713246,200.30351265641337,220.3030241196784,255.69301164019151,246.25207779881399,204.7061897621762,221.26408822034114,93.04411255014705,326.6591403732584
modelvit,do0,CTM class avg,rew0,46.660168256555224,198.7907682495541,226.8571689397435,244.745669857839,244.24420628618282,218.21316380362742,250.29635182044981,102.92713702072186,368.24243014243785
modelvit,do0,KPCA RecError class,rew0,46.79661057945766,204.82541607296216,195.78415624570374,230.1558286610175,210.28440550337314,166.47568892070467,247.65605667880655,81.14540437802046,323.3390383014092
modelvit,do0,CTM class pred,rew0,47.245734125748506,202.91910953835145,225.2851527558742,249.12841892312426,245.50635642274855,211.44536146020877,242.98510969569162,99.00237927199696,364.58262915589705
modelvit,do0,NeCo,rew0,47.248856311977974,200.38198057084537,220.10102128983053,259.8112439697914,248.77848205239698,199.20665216603612,232.99989858437704,90.91353150318841,333.584489454526
modelvit,do0,CTM class,rew0,47.426374794003024,202.9890743994077,225.46978572346188,249.29249474345738,245.72371656397104,211.56228398124262,242.98704016148275,99.27695536227625,364.7530706171315
modelvit,do0,Energy class avg,rew0,48.826749267104155,196.49278372648897,227.23615798439687,268.3629983454251,261.0787313007832,210.11366104753446,245.23788398603946,96.1055020213314,340.7785310743112
modelvit,do1,CTMmean class avg,rew0,48.83701370366516,213.97497353881823,205.42361335715972,207.07491462623292,192.80169105618586,196.8481845918891,190.8838493970565,98.98185458899653,305.8886366104392
modelvit,do1,CTMmean global,rew0,48.92035411557747,209.67311031136768,204.12513215728768,209.86809758988133,195.96937019871035,189.83187895887568,195.33676590044178,96.1185476912282,309.33996461963403
modelvit,do1,GEN global,rew0,49.799056023237846,209.34820200304065,216.7739951582842,226.99697100369235,210.975982571069,199.573408871425,213.85541877894622,109.7197769642946,321.6846381459367
modelvit,do1,GEN class avg,rew0,49.840993897933984,207.901692558403,217.57600030897993,229.88227262408063,212.19044368069754,199.78386906440582,215.36065777789878,109.3573810467157,324.8938992038117
modelvit,do1,MSR global,rew0,50.12666142811885,206.05146389273892,214.6862238010127,227.5944482137201,211.81427089867697,194.21338995111168,212.7189870976171,98.4644926023494,322.2604743753104
modelvit,do1,MSR class avg,rew0,50.17744361413161,205.1456966786246,215.89335647213392,230.46731936379734,212.92170834434947,195.21557234661827,214.52872482429012,99.57534639101726,325.69878263397186
modelvit,do1,GEN class pred,rew0,50.1902449916043,209.63604736673724,217.4237584941005,228.4205764068335,212.0206445408106,199.02878918652763,215.8165819233866,110.0363121336346,324.30164431140406
modelvit,do1,GEN,rew0,50.46100684254354,208.8711925089082,216.9372331289695,228.93447745655607,212.5575646171913,198.23229866401675,214.64052510428755,107.90732822134589,322.9178873306222
modelvit,do1,GEN class,rew0,50.49371579543536,209.33379201118004,216.98177219658515,228.89123720796988,212.31567370626755,199.32363845041175,215.18329020679926,108.96807789477751,322.9135307180473
modelvit,do1,REN class avg,rew0,50.56924279764476,209.65051725851816,218.81595770504106,228.94245460856808,211.23046692100888,204.86890236544804,215.73380649688414,120.54216783979348,324.3051468936312
modelvit,do1,REN global,rew0,50.597452838711504,210.92489715180105,217.8071110298471,226.14753237523502,209.9714749926105,205.60117962457358,213.9976340090323,122.24507114708035,320.6188268318368
modelvit,do1,CTMmeanOC,rew0,50.60697946898682,209.68430671377456,202.0692014158087,210.51309264585308,196.3454180283029,180.6895673259322,199.51890343475839,91.5807355759982,311.4681955543821
modelvit,do1,PCE global,rew0,50.61694434437399,205.41899773279988,214.34515761225651,227.78319465622317,212.04167263111404,193.21125272521948,212.5087431085658,97.33761132150397,322.2925759295277
modelvit,do1,MSR class pred,rew0,50.65020802278405,206.36810818841968,215.14696243440284,229.02630259936686,212.88899018416936,193.74745246805398,214.57837051663313,98.7093354577703,324.94584230803275
modelvit,do1,PCE class avg,rew0,50.67567399759103,204.42152599619465,215.5196493856286,230.65226475983803,213.14533324837217,194.1819266170581,214.3305852609031,98.38009564725942,325.78112047933143
modelvit,do1,CTMmean,rew0,50.78895526004915,209.87423791777036,201.93785095808258,210.6272947017926,196.39475345082144,180.46614110801846,199.88344368125863,91.46526311330561,311.71525659984957
modelvit,do1,MSR,rew0,50.809200277217876,206.38536758554073,215.55499880991724,229.6793013453092,213.52045387867506,193.85267115862194,213.98223688124654,98.9773318995972,323.7832380992956
