model,drop out,methods,reward,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,CTMmean class avg,rew0,0.764121958832968,186.4842367380475,201.2997731048588,180.73855506247736,163.86110179500878,189.9662349920464,179.88584517311511,89.90642435623818,399.3279850307066
modelvit,do1,CTMmeanOC,rew0,0.8080832918556149,185.993269010298,199.21973750252286,180.6270510121064,163.45037720815589,188.16464774593055,179.76345233307148,89.25940002634505,399.2278701678937
modelvit,do1,CTMmean,rew0,0.8173910625081691,186.09405290740833,199.013726983401,180.69158730496548,163.54639823587388,188.1676293133591,179.88648867745323,89.28311848755422,399.2286978705168
modelvit,do1,CTMmean class pred,rew0,0.8276551252787208,186.98742212414768,203.7842623640501,181.66360876159416,165.1101700675609,190.52815578179138,180.272152687603,89.85386058604372,399.5472210561524
modelvit,do1,CTMmean class,rew0,0.8279186830399947,186.98811964565002,203.78281476867855,181.65973460579616,165.1134290218078,190.52372170016437,180.26312346253968,89.85361978751828,399.5378748350955
modelvit,do1,CTMmean global,rew0,0.8403337687920105,188.1128305448911,206.6145147876323,181.96895755030047,165.69311340953737,192.07649131512875,180.29136904217435,90.27235898266447,399.4987506796091
modelvit,do1,GEN global,rew0,0.910396130729997,191.63096231732143,206.2780609069526,187.00606482741074,168.69075856397663,194.79991280161886,182.10179345432357,90.63518146884853,403.62411772627576
modelvit,do1,KPCA RecError global,rew0,0.9155409601976215,184.79154741471055,189.51256483583947,178.78997477119975,159.6603441350985,186.3188878166728,176.57666846391427,88.43412484065713,398.4848359125926
modelvit,do1,NNGuide,rew0,0.9167655849877823,188.01077360099293,199.8935116137191,183.77464686392864,165.9233075045467,191.79401907821264,178.50966734816302,88.55459804194459,400.56248964796896
modelvit,do1,MSR global,rew0,0.9278685070031012,191.04255761814076,204.64083592784297,186.19237596490584,167.8171021228474,194.2022352996349,181.014791054178,89.7966368733549,402.8327866477051
modelvit,do1,PCE global,rew0,0.9281456385648603,190.9385102233919,204.5353217489188,186.08135255828253,167.71048574213896,194.07774016690368,180.87803912802397,89.63368573813821,402.6920623152055
modelvit,do1,PE global,rew0,0.9373380110938646,190.64805400512122,204.0360694202945,185.63194779236568,167.27330662396793,193.75710574614678,180.2560873103107,89.22930850685194,402.09157669262015
modelvit,do1,NNGuide global,rew0,0.939594401289489,189.35183167934082,202.24242103631218,184.71237083922796,166.82548668888015,193.92349360201143,178.61592421991614,88.69869432391553,400.83976604029965
modelvit,do1,NNGuide class pred,rew0,0.9425129216474792,188.93527533264484,201.68997358764707,184.61450282298497,166.80664680454987,193.3475083782498,178.6095487444703,88.65663531708219,400.7613375979753
modelvit,do1,KPCA RecError class pred,rew0,0.9455347251722641,183.7733464637361,181.80307274411786,177.8236938562693,158.02022922259476,179.34530279650582,180.5993685277293,88.00143654950216,399.0709795215074
modelvit,do1,GEN class avg,rew0,0.9469331472504159,193.4645019508061,207.34398408413708,187.6872422135635,169.10915723549547,194.64601327093118,183.6328197743518,90.8183454471945,404.82288011890296
modelvit,do1,GEN class,rew0,0.9485625374612734,192.58141329264572,207.42942134599085,187.85130776724384,169.73714284551983,195.29200253550698,182.43378814156122,90.72634673291576,404.1075534116441
modelvit,do1,GEN,rew0,0.9542507194260704,192.2053803933448,207.77146361570735,187.31095631767465,169.19317783317214,194.68836511938872,182.22163737284237,90.72318254345414,403.71646442762767
modelvit,do1,NNGuide class avg,rew0,0.956055076044221,190.724181645049,203.04807159632776,184.90698236578746,166.74170631615956,194.4247134678331,178.7825842682767,88.55449915741512,401.27941992760043
modelvit,do1,KPCA RecError class,rew0,0.9589214834520439,183.80272119253746,181.77314963930445,177.80314619494254,157.9986431972099,179.31411041911898,180.63266787948982,87.96495139147157,399.0342032689142
modelvit,do1,GEN class pred,rew0,0.968607249491874,192.28470884391845,207.2604909816003,187.40785840222128,169.14329053829064,195.0315609745779,182.04193357444822,90.70078129827911,403.66943592088217
modelvit,do1,MSR class,rew0,0.9793264147282267,192.00096267286852,205.99337391888193,187.08907903357436,168.8878981572367,194.72050535020895,181.31903009815522,89.8243779564111,403.2638945120009
modelvit,do1,PCE class,rew0,0.9793494727924958,191.8963232645143,205.88747040273984,186.97629937424853,168.77953298014523,194.5948055141944,181.18249063053167,89.66171447534347,403.123825199333
modelvit,do1,MSR class avg,rew0,0.9793599819321471,193.03304433313116,206.005570733375,186.9965012742556,168.35188332156773,194.19802342532165,182.44872908045693,90.05345181695573,404.0713654781146
modelvit,do1,PCE class avg,rew0,0.9795382217746618,192.92728050722258,205.89888593577416,186.88444550308813,168.24455316984108,194.07027652477763,182.31836576704129,89.88858762666635,403.940010219639
modelvit,do1,MSR,rew0,0.9799872685640973,191.5440106728137,206.01018664664676,186.41135942420595,168.25750246527235,193.98996994452403,181.0038351998158,89.77926230013966,402.83017430531095
modelvit,do1,PCE,rew0,0.9801960197668652,191.44020968550316,205.90391138756746,186.29871396282766,168.14885262302317,193.86434946000188,180.86723858739418,89.61882957692458,402.6892079051935
modelvit,do1,MSR class pred,rew0,0.9901195164760187,191.73995074694682,205.7431651983445,186.62897907152902,168.31377493648625,194.47148858550946,180.966531999387,89.8906731741872,402.8830572319209
modelvit,do1,PCE class pred,rew0,0.9902744589415509,191.63961113241413,205.64344453810682,186.52317600153066,168.21305172844924,194.34954135052652,180.8438484784404,89.73860239059557,402.75837103105965
modelvit,do1,PE class avg,rew0,0.9905507130289658,192.64378964643188,205.4233428615204,186.4424132840981,167.8109774493521,193.75369419495095,181.64637364094057,89.4303145776045,403.3240781869917
modelvit,do1,PE class,rew0,0.9911347815650515,191.65000315248093,205.45168008154036,186.57581168197368,168.3824046762827,194.3224943700119,180.58468192114734,89.2677535156337,402.529307632838
modelvit,do1,PE,rew0,0.9915900890679851,191.1639181791921,205.42136586949727,185.86323406520532,167.72788661229677,193.55944926045987,180.25956254749752,89.23245030595915,402.1018824252168
modelvit,do1,PE class pred,rew0,1.000078323461801,191.33669898608187,205.13545831654702,186.0697348497659,167.76972434705476,194.0194023533946,180.22389984102887,89.29459706562638,402.1519611031613
modelvit,do1,GE global,rew0,1.0133972060976602,191.38047177156488,203.28616214218488,185.53022452811942,167.1512830486453,194.3408825801383,179.6337849639579,89.00838296657321,401.75064498723054
modelvit,do1,pNML class pred,rew0,1.0338860968045387,183.82327555030088,187.44897867138732,179.94622410825707,160.49457511713928,181.89187788326922,185.20046287519466,88.3925614849816,402.2925335852782
modelvit,do1,PCA RecError class pred,rew0,1.0396725793902686,183.44652056732926,181.52972344449546,177.7060784663576,157.94765249324277,179.24729254063442,179.75298518240402,87.91622176235833,398.61486599309694
modelvit,do1,PCA RecError class,rew0,1.064349733832771,183.51748017815947,181.5331664394169,177.723731800253,157.96213412213712,179.23671634436397,179.84704769969346,87.91096989926834,398.65866681844005
modelvit,do1,NeCo,rew0,1.0679119627143439,187.21569647877945,196.96379166527626,182.99233236108225,164.6497057416122,188.9554450857067,178.7541275453265,88.45276715352759,400.1039566503093
modelvit,do1,GE,rew0,1.0721935335928316,191.94601843902353,204.71068847558337,185.8436389491759,167.70078954511635,194.15053835325108,179.65963299343838,89.01643379163232,401.8013408129456
modelvit,do1,GE class pred,rew0,1.073971771253855,192.1076625543011,204.44160539846226,186.01273373767035,167.70585135501673,194.63809100866982,179.5883565132248,89.03636604049782,401.78224556337767
