model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM global,rew2.2,5,217.45850807987156,485.8659526856833,354.89397984459566,363.61180322443465,333.46896558496115,496.9008414752488,416.9074007046992,252.62121877906912,613.9735065741282
confidnet,do0,CTM global,rew2.2,3,217.29955460784436,514.7196111890177,374.12617304974816,368.9878868962657,347.3784702972871,504.11415846044025,405.3677704543376,252.2664927544733,592.827162702871
confidnet,do0,CTM global,rew2.2,1,226.69849271024128,520.6595521683978,381.2738284292336,387.5018455571167,363.9536523095008,513.994133538377,407.1515722584106,260.8280341482858,607.3867019231892
confidnet,do0,CTM global,rew2.2,2,222.92283486026392,511.2545028268712,369.55333535549073,385.1478220291147,354.20903126638166,492.8089005626464,410.0848703620368,250.05097577636036,589.6660413184254
confidnet,do0,CTM global,rew2.2,4,219.98300994410576,499.0782016596512,335.9665171428281,346.9528858405308,320.0302179237326,485.5821242602736,399.65818716895217,251.3369324414456,587.9738552760899
confidnet,do0,CTM,rew2.2,5,217.49906879043775,485.8500047727716,355.2282869679989,364.0131861129915,333.8097574176182,496.9359235320524,418.1445486467029,252.5647595342282,614.1099680765215
confidnet,do0,CTM,rew2.2,3,217.4396458303985,514.4420002706829,374.47032833190326,369.3945256030761,347.74927189194494,503.9814021545892,405.9703401808841,252.11101751494576,592.9599143641177
confidnet,do0,CTM,rew2.2,1,226.7781925633272,519.220522415557,381.6712523800264,387.9535632182382,364.3426386690005,513.3610734680735,407.94998575590654,260.729723566831,607.2133762887963
confidnet,do0,CTM,rew2.2,2,223.01864610722987,509.6974591082182,369.6564890073684,385.5243046520552,354.41230272133515,492.4198578047294,410.6465183152843,249.82742163023957,589.9418850061235
confidnet,do0,CTM,rew2.2,4,220.06378136940145,498.4514927305504,336.3180871522703,347.41814218564525,320.4698398225866,485.40540879546126,400.6875075085919,251.22641356816467,587.9004997918815
confidnet,do0,PCA RecError class pred,rew2.2,5,221.06633533123667,508.1565867039744,384.9775222272851,403.1344509496003,364.33941177998827,497.33486934968965,401.044723234962,252.3662230965014,609.9023807888584
confidnet,do0,PCA RecError class pred,rew2.2,3,219.35788053414748,500.3712788889517,371.25695817556254,374.4547127820968,350.1415380915994,499.861676305538,392.5913586658188,256.0670495829507,615.0392583718956
confidnet,do0,PCA RecError class pred,rew2.2,1,227.57135571851484,513.2215225934868,390.41775202333895,402.00289639259614,374.0818900713067,502.8460147643437,391.6476460642331,260.7006561569382,602.6283455598033
confidnet,do0,PCA RecError class pred,rew2.2,2,224.67547758199197,502.3087715824344,363.60757907909664,381.7387851362487,350.48454749095225,496.0769640826508,405.8429921127242,252.61341695513707,595.3820296083494
confidnet,do0,PCA RecError class pred,rew2.2,4,218.8880878955556,508.5961317189522,348.0102404835166,360.6256672524898,332.50178594365906,506.30478231522056,396.40665415154587,267.4353636954418,611.3479531143574
confidnet,do0,CTMmean global,rew2.2,5,220.8189379524601,509.6848077111009,381.95743494323926,381.0859488711173,352.29193474291867,486.8176567197495,413.2869643957345,252.70780345099516,617.1872260529353
confidnet,do0,CTMmean global,rew2.2,3,219.78508802784532,504.95043561894846,392.2270254395728,383.4525415796565,362.9356146450015,494.4118037798823,419.7744086733552,259.9678543532581,596.0908504833947
confidnet,do0,CTMmean global,rew2.2,1,228.53923823747135,513.6090414850547,397.5194667894853,406.1391313128349,383.0784002182549,501.09377066462326,408.15045479532006,263.48020389394094,610.2567858559572
confidnet,do0,CTMmean global,rew2.2,2,223.8016259676974,505.4010046638007,396.2291703293744,418.3447127361295,383.9869917718482,492.5858854756622,416.2832510507266,258.9264309666039,599.7965878432699
confidnet,do0,CTMmean global,rew2.2,4,219.3992746960318,505.015672291523,364.68601176899085,379.0113466641041,352.31373899587265,498.164309341776,416.1386932245508,259.6646751844711,590.696397952829
confidnet,do0,CTMmeanOC,rew2.2,5,220.99767916020937,509.43107192896576,382.7651902283934,381.75179071471854,352.8849256601434,486.7056456378336,413.4885214383557,252.7076403514961,617.6952812820363
confidnet,do0,CTMmeanOC,rew2.2,3,219.75296776491,504.0301047733061,392.3441392449005,383.6289329203618,363.1616772481684,494.3538533304407,419.42046997913474,259.7723087595496,596.0129035812206
confidnet,do0,CTMmeanOC,rew2.2,1,228.79540333510917,513.5811936713086,398.1452870948591,406.9435838693529,383.5905448636233,500.4940585439316,408.86408685354513,263.40064719208823,610.6376274683364
confidnet,do0,CTMmeanOC,rew2.2,2,223.87350926052585,504.008846812018,397.0499308241472,419.5329210182945,384.8371769675925,492.0078016700964,416.59705564271553,258.5108596289113,600.193600837356
confidnet,do0,CTMmeanOC,rew2.2,4,219.56558609479825,505.1128409471965,365.2685016462043,379.79851103100304,352.91915453088666,497.96985598203446,417.0282377207628,259.42908558170603,590.8233828436871
confidnet,do0,CTMmean,rew2.2,5,221.0582550904096,509.4674932202551,382.747467573187,381.5108615270016,352.7200428044837,486.5974209374175,413.4384590705849,252.4702493493912,617.3502314353468
confidnet,do0,CTMmean,rew2.2,3,219.89711870414723,504.08895347589055,392.69918904049786,383.7058244064913,363.2326000120976,494.2783469347804,419.5660698488467,259.59465862477083,595.7128546720701
confidnet,do0,CTMmean,rew2.2,1,228.8488534319017,513.5989722947669,398.1112721112384,406.7965534919528,383.4401883147645,500.49551521485625,408.74883269340125,263.15726034906425,610.309358121946
confidnet,do0,CTMmean,rew2.2,2,224.0068992458804,504.145141937935,397.0755066254325,419.41711957068094,384.7507677073087,491.9680518998701,416.7343519990562,258.3143633925561,599.976066971261
confidnet,do0,CTMmean,rew2.2,4,219.67180658548247,505.2170982480994,365.3202365806087,379.6516794779792,352.7992931922366,497.8984440420804,416.9831275931152,259.2631110370654,590.6460549889122
confidnet,do0,PCA RecError class,rew2.2,5,221.6385682719724,508.4903232452593,384.9074909417744,402.9638916965502,364.1040781842802,497.654788052068,401.18654763880113,252.32831199782,610.5895931025055
confidnet,do0,PCA RecError class,rew2.2,3,219.507940303794,500.40377523393806,370.9758571146585,374.22334477867616,349.92839755316766,499.9686823818874,391.9966524043406,255.7872394359292,614.829717154314
confidnet,do0,PCA RecError class,rew2.2,1,228.3268194367365,513.4465659995635,391.2298632164012,402.7400296455333,374.95282588573343,503.7710355663043,392.0376392719531,260.90148325292733,602.3066153135958
confidnet,do0,PCA RecError class,rew2.2,2,224.9477509989811,502.45337671243294,362.8680280657894,381.312563605944,349.95457708947083,496.3392899790737,405.3871107670789,252.3400528262701,595.1289539256368
confidnet,do0,PCA RecError class,rew2.2,4,219.31308052395116,508.79947941671065,348.2027524026172,360.7532357090816,332.67782891560694,507.0536916547449,397.8516529505828,267.63052948760566,611.6122563836035
confidnet,do0,CTM class pred,rew2.2,5,221.93970021630565,486.7512200313167,365.0678439637616,369.0568569323483,340.57364686982794,496.6237317435378,422.42345051054986,256.4161800844364,647.2153038358318
confidnet,do0,CTM class pred,rew2.2,3,219.94960644839853,517.2412961470824,387.2558267163938,376.6562524487743,357.2800662894563,502.5844214101656,406.8236487796512,254.18921337653148,586.4851127137757
confidnet,do0,CTM class pred,rew2.2,1,226.8892291822256,520.3814710136008,378.82947765573897,383.3079523047521,360.2243237396359,511.85363840862783,406.5150703264662,260.0508085638528,605.8153705250295
confidnet,do0,CTM class pred,rew2.2,2,224.80552656123808,510.25612092591376,395.2520730384635,406.36454553362864,374.6005077464892,490.5698214278281,410.68484397683466,250.8622461245737,587.5257838156466
confidnet,do0,CTM class pred,rew2.2,4,220.3379891885785,498.9800238182595,337.2568391448633,347.08897572236526,320.89017304745084,484.6790623003825,401.4170346730194,251.19842752948816,586.674981756962
confidnet,do0,CTM class,rew2.2,5,222.09309852198484,486.81081088774073,365.1494384336215,368.8391472555249,340.4599436964656,496.591731975722,422.6937052275801,256.41433051820786,651.5433459890005
confidnet,do0,CTM class,rew2.2,3,220.10550573318213,517.3583672303392,387.49937987788775,376.69294426777776,357.3993145751083,502.54114241999423,406.8069781761627,254.1713424213778,586.3545146596545
confidnet,do0,CTM class,rew2.2,1,226.86971768486097,520.3702232818086,378.7490328956648,383.223978628866,360.1487699767878,511.8369409303486,406.4826415679812,259.9950720583305,605.8110323365258
confidnet,do0,CTM class,rew2.2,2,224.9773201849222,510.3815384627623,395.3502755310113,406.35265073624737,374.6244746514944,490.3439665588201,410.6040569411671,250.66422976755496,587.3349425205613
confidnet,do0,CTM class,rew2.2,4,220.36759136831208,499.00207807122064,337.2186878478327,347.0546748199004,320.85783503617284,484.69226651801455,401.42664941336506,251.2009616648349,586.6868110474629
confidnet,do0,CTMmean class avg,rew2.2,5,223.02675792551156,522.2542979907894,385.5489436059891,387.9922197549296,357.2810791832624,492.5352512647581,405.556876951041,249.55242782021324,609.2209252183627
confidnet,do0,CTMmean class avg,rew2.2,3,222.57861639592403,511.67350924989006,389.4872146081023,380.5645114321471,360.1989543176933,496.0921410582006,409.4182061660057,254.8635248686126,591.0004458438252
confidnet,do0,CTMmean class avg,rew2.2,1,228.3207638899554,516.4775681030828,395.00971679668754,401.8583256906348,378.5061931007985,499.3246600519296,400.4451320516051,262.6532405912291,604.5754860397252
confidnet,do0,CTMmean class avg,rew2.2,2,224.1176578522069,513.8333899679095,393.0280971682661,415.77766406830665,381.6609682135966,492.0232016557954,405.1235452742556,255.5487265387684,597.5992328633441
confidnet,do0,CTMmean class avg,rew2.2,4,218.6071480865156,507.9776485007229,361.5174717905163,373.2236929316537,346.36607743179457,492.6695275887223,405.7116810005284,255.70755818576453,586.8894303143028
confidnet,do0,CTMmean class pred,rew2.2,5,223.6475831779311,510.8478342519915,386.5897379840709,381.11286454565385,354.100535143313,487.7495090024036,419.2934828648344,255.4351964257454,621.5902943879532
confidnet,do0,CTMmean class pred,rew2.2,3,221.88945058325777,505.6953978543375,401.0631075033449,388.5141090392634,368.9632441090191,495.7443283661362,426.6472842032838,262.24908215938615,594.5407505755834
confidnet,do0,CTMmean class pred,rew2.2,1,229.82861356144824,514.3513099588313,400.02910212337537,408.3787948327603,385.5055463613697,500.9432234510535,411.528541837076,264.47439324992496,611.7841249595743
confidnet,do0,CTMmean class pred,rew2.2,2,225.51476361729252,505.7384161355951,409.7191386241488,429.6956839729392,395.65608414000906,493.21854203773927,420.5609983371396,260.8005523547204,602.4610999920187
confidnet,do0,CTMmean class pred,rew2.2,4,220.48963514346937,505.61053066746354,368.4351202693066,382.6934340352453,356.0712132667505,497.9870163956176,420.8885987229599,259.7321643036968,589.658983198822
confidnet,do0,CTMmean class,rew2.2,5,223.7211289079949,510.7889473243896,386.6539774996284,381.0520860204531,354.02632795591586,487.7504857206895,419.50698766968856,255.40156822497912,622.7350685140531
confidnet,do0,CTMmean class,rew2.2,3,221.90532901588503,505.6898269837864,400.97014845510216,388.356734681516,368.8251070430724,495.7783308046604,426.7585959671679,262.2280912927552,594.4853670358266
confidnet,do0,CTMmean class,rew2.2,1,229.8079231909539,514.327368135982,399.9792576250921,408.3073830627042,385.44508120599,500.917487359322,411.5419212496791,264.4226737071745,611.84346645625
confidnet,do0,CTMmean class,rew2.2,2,225.57824543509363,505.75706885971726,409.7293366932077,429.6551237281465,395.6441712941439,493.21485483022366,420.6733763726668,260.8548460098351,602.4638030318825
confidnet,do0,CTMmean class,rew2.2,4,220.5621585859514,505.6188544829199,368.4498708292415,382.710219034392,356.07408632379486,498.0060443398381,420.9388963840888,259.7220651477169,589.6172858082792
confidnet,do0,fDBD class avg,rew2.2,5,215.9622087684693,493.4272365227519,369.1875207772512,374.3503791093364,348.6990516034697,496.68941541232647,404.0284269641094,261.4220907209174,654.3836050571884
confidnet,do0,fDBD class avg,rew2.2,3,215.19593198472512,496.6193665428312,377.89990286309103,371.2794756248918,350.5540494056213,492.04520306258456,415.7399214294797,259.38257891743905,602.2915472752233
confidnet,do0,fDBD class avg,rew2.2,1,238.89392265476857,533.0180866556659,416.11841627962974,421.4608317785031,389.597006517195,490.4350799176367,396.1632954820345,271.349867131158,607.1349823902881
confidnet,do0,fDBD class avg,rew2.2,2,225.26519487714933,526.0687032297195,388.5475554442877,405.0569400930911,371.5590789550675,506.8931340001439,409.8186213360935,249.4940574376758,587.3588045977692
confidnet,do0,fDBD class avg,rew2.2,4,231.12496662553616,527.4882693721677,367.55799581121545,379.5309770938815,348.59279524891906,468.96032560712825,387.923352433895,256.67057377397686,587.5612582345568
confidnet,do0,KPCA RecError class pred,rew2.2,5,223.8505242674057,509.2219742398352,381.16669755243794,376.4155833728991,346.8257103837436,481.4844149536495,396.9417143430325,233.1711338258519,616.1851403702115
confidnet,do0,KPCA RecError class pred,rew2.2,3,221.7973976632213,502.7641087823527,378.1165800892451,366.2113367143057,344.9882469567551,488.0553699312657,397.7277960047831,236.4551035091011,613.5641232082521
confidnet,do0,KPCA RecError class pred,rew2.2,1,229.1215978029336,518.2475298746724,396.33062666272633,403.3543741630593,377.6272495094688,494.7235682790842,391.94483776505,244.82700238439108,606.8077889500256
confidnet,do0,KPCA RecError class pred,rew2.2,2,228.11143237181776,508.24308882969495,381.2211053787702,399.0972250854777,365.73832742264256,489.662924226151,417.06842984606885,248.5688201197357,590.9292690565077
confidnet,do0,KPCA RecError class pred,rew2.2,4,223.8000268314499,513.7587467395308,355.6612360314577,362.2007925036402,335.41261103687265,492.9853681961504,385.3055535917262,243.5516719020017,599.1215893048793
confidnet,do0,KPCA RecError class,rew2.2,5,224.23117622683867,509.2537451659811,381.0704017638423,375.8091294475953,346.36012874576943,481.4451478966384,397.71899648228754,232.5506119472792,615.7506974504163
confidnet,do0,KPCA RecError class,rew2.2,3,221.9727879053188,502.756429105753,377.645984007406,365.4781890888908,344.2517355893694,488.0944669950776,398.6490309290096,235.8275100055557,613.0611594965834
