nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.6968502611233506,0.0001,True
var_collapse,jaccard_top1,0.3968487186697822,0.0004,True
equiangular_uc,spearman_rank,0.29201317615262024,0.0048,True
equiangular_uc,jaccard_top1,0.18971534237713192,0.0212,True
equiangular_wc,spearman_rank,0.20706894644341095,0.0195,True
equiangular_wc,jaccard_top1,0.23890951924663636,0.0153,True
equinorm_uc,spearman_rank,0.5025078152031995,0.0003,True
equinorm_uc,jaccard_top1,0.30575710886835533,0.0019,True
equinorm_wc,spearman_rank,0.30051967127828555,0.002,True
equinorm_wc,jaccard_top1,0.37637075987721336,0.0002,True
max_equiangular_uc,spearman_rank,0.2570669125491569,0.0091,True
max_equiangular_uc,jaccard_top1,0.13816737714066557,0.0582,False
max_equiangular_wc,spearman_rank,0.5857986845887243,0.0001,True
max_equiangular_wc,jaccard_top1,0.4439244860090209,0.0002,True
self_duality,spearman_rank,0.4258128912359713,0.001,True
self_duality,jaccard_top1,0.46746236967864024,0.0001,True
