,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-1.2070213832870992e-07,0.0032619133770243423,0.70430126786232,0.6025906205177307,0
cifar10,0.00016609295719973715,0.15898852108271927,0.7493852078914642,0.7268065214157104,1
tinyimagenet,0.0007542894935035438,0.22347466420191014,0.75115105509758,0.8435523509979248,1
isun,0.0011828452000508616,0.3829410114298599,0.7483851313591003,0.7128493189811707,2
lsun resize,0.001296597714276153,0.42041101001106856,0.7562091052532196,0.738822340965271,2
lsun cropped,0.0011399796010686547,0.3999149475727106,0.7363504469394684,0.7120368480682373,2
svhn,0.001706358449170322,0.6222221326384915,0.7511291354894638,0.7788575291633606,2
places365,0.0019294211409590734,0.5456193644620301,0.7752140611410141,1.0567599534988403,3
textures,0.0016112307240559699,0.5232132694932965,0.7612740099430084,0.9779684543609619,3
