Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, 0.01)",80,0.6666666666666666,40,40,0.5,0.0,0.0,0.0,CTM,var_collapse,,,,
"[0.01, 0.02)",20,0.16666666666666666,15,5,0.25,1.0986122886681096,0.18310204811135164,0.021802005990189496,CTM,var_collapse,,,,
"[0.02, inf)",20,0.16666666666666666,5,15,0.75,-1.09861228866811,0.18310204811135164,0.021802005990189496,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,120,1.0,60,60,0.5,,0.3662040962227033,0.04360401198037899,CTM,var_collapse,,,,
"(-inf, 0.15)",80,0.6666666666666666,45,35,0.4375,0.25131442828090594,0.04188573804681767,0.005221982188991288,CTM,equiangular_uc,,,,
"[0.15, inf)",40,0.3333333333333333,15,25,0.625,-0.5108256237659905,0.08513760396099847,0.010527980800654403,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,120,1.0,60,60,0.5,,0.12702334200781612,0.01574996298964569,CTM,equiangular_uc,,,,
"(-inf, 0.08)",46,0.38333333333333336,24,22,0.4782608695652174,0.0870113769896297,0.002900379232987668,0.00036243307910635743,CTM,equiangular_wc,,,,
"[0.08, 0.11)",31,0.25833333333333336,8,23,0.7419354838709677,-1.056052674249314,0.2640131685623285,0.03154882131773252,CTM,equiangular_wc,,,,
"[0.11, inf)",43,0.35833333333333334,28,15,0.3488372093023256,0.6241543090729939,0.135233433632482,0.016635025755777723,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,120,1.0,60,60,0.5,,0.40214698142779814,0.0485462801526166,CTM,equiangular_wc,,,,
"(-inf, inf)",120,1.0,60,60,0.5,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,120,1.0,60,60,0.5,,0.0,0.0,CTM,equinorm_uc,,,,
